artist_id,artist_active_year_begin,artist_active_year_end,artist_image_file,artist_location,artist_name,artist_url,artist_website,tags
1,2006,,https://freemusicarchive.org/file/images/artists/AWOL_-_2009113014453413.jpg,New Jersey,AWOL,http://freemusicarchive.org/music/AWOL/,http://www.AzillionRecords.blogspot.com,['awol']
10,,,https://freemusicarchive.org/file/images/artists/Lucky_Dragons_-_20120123182332618.jpg,"Los Angeles, CA",Lucky Dragons,http://freemusicarchive.org/music/Lucky_Dragons/,http://hawksandsparrows.org/,['lucky dragons']
100,2004,,https://freemusicarchive.org/file/images/artists/Chandeliers_-_2009113014608987.png,"Chicago, IL",Chandeliers,http://freemusicarchive.org/music/Chandeliers/,thechandeliers.com,['chandeliers']
1000,,,https://freemusicarchive.org/file/images/artists/Marzipan_Marzipan_-_20151120162333592.jpg,,Marzipan Marzipan,http://freemusicarchive.org/music/Marzipan_Marzipan/,https://soundcloud.com/marzipanmarzipan,[]
10000,,,https://freemusicarchive.org/file/images/artists/Jack_Hertz_PHOBoS_Blue_Hell_-_20110121140650772.jpg,,"Jack Hertz, PHOBoS, Blue Hell",http://freemusicarchive.org/music/Jack_Hertz_PHOBoS_Blue_Hell/,http://surrism.phonoethics.com/surrism-phonoethics_jack_hertz_phobos_blue_hell_-_gritty_transmutation_spe_0089.html,['jack hertz phobos blue hell']
10001,,,https://freemusicarchive.org/file/images/artists/Nick_Rivera_-_2013062853731724.jpg,Cagliari/Italy,Nick Rivera,http://freemusicarchive.org/music/Nick_Rivera/,http://www.nickrivera.net/,['nick rivera']
10002,,,https://freemusicarchive.org/file/images/artists/Carlos_Ramirez_-_20110122111456036.jpg,,Carlos Ramirez,http://freemusicarchive.org/music/Carlos_Ramirez/,http://www.reverbnation.com/coatzin,['carlos ramirez']
10003,,,https://freemusicarchive.org/file/images/artists/Evening_Fires_-_20110122121025490.jpg,"State College, PA",Evening Fires,http://freemusicarchive.org/music/Evening_Fires/,http://www.myspace.com/eveningfires,['evening fires']
10004,,,https://freemusicarchive.org/file/images/artists/Tabla_y_Cuchillo_-_20110122130034892.jpg,,Tabla y Cuchillo,http://freemusicarchive.org/music/Tabla_y_Cuchillo/,http://surrism.phonoethics.com/surrism-phonoethics_tabla_y_cuchillo_spe_0091.html,['tabla y cuchillo']
10005,,,https://freemusicarchive.org/file/images/artists/Blank_Realm_-_20110122193643244.jpg,"Brisbane, Australia",Blank Realm,http://freemusicarchive.org/music/Blank_Realm/,http://www.myspace.com/blankrealm/,['blank realm']
10010,,,https://freemusicarchive.org/file/images/artists/Jason_Kaneshiro_-_2011012395852068.jpg,,Jason Kaneshiro,http://freemusicarchive.org/music/Jason_Kaneshiro/,http://www.webomatica.com/music/,['jason kaneshiro']
10011,,,https://freemusicarchive.org/file/images/artists/Koobaatoo_Asparagus_-_20110123104137311.jpg,,Koobaatoo Asparagus,http://freemusicarchive.org/music/Koobaatoo_Asparagus/,http://www.myspace.com/koobaatooasparagus,['koobaatoo asparagus']
10012,2010,0,https://freemusicarchive.org/file/images/artists/Jared_C_Balogh_-_2015013030856870.jpg,"Bethlehem, Pennsylvania U.S.A.",Jared C. Balogh,http://freemusicarchive.org/music/Balogh/,http://www.alteredstateofmine.net,"['trans atlantic rage', 'intuitive improvisation', 'music for video', 'improvised', 'improvisation', 'wombnet', 'the allentown ocean good times band', 'modern composition', 'hot pocket dingleberry disease', 'headphonica', 'beats', 'electronic', 'music for jazz bands', 'classwar karaoke', 'music for live performances', 'classical', 'enough records', 'music for podcast', 'sheet music', 'music for film', 'improvised music', 'improv', 'modern classical', 'anderkobalogh', 'dmah balogh', 'contemporary composition', 'shadow entity wizard', 'hip-hop', '45 rpm records', 'music for chamber music', 'experimental', 'jazz', 'music for video games', 'happy puppy records', 'music for radio', 'music for television', 'improvisational', 'noise', 'life like thunderstorms', 'deconstruction', 'wondertaker', 'sirona records', 'music for web commercials', 'free jazz', 'aniqatia', 'altered state reflections', 'music for orchestras', 'avant garde', 'composer', 'music for performing art', 'surrism-phonoethics', 'notation', 'balogh', 'jared c balogh']"
10013,,,https://freemusicarchive.org/file/images/artists/Silent_Strangers_-_20110123205330661.jpg,,Silent Strangers,http://freemusicarchive.org/music/Silent_Strangers/,http://silentstrangers.bandcamp.com,['silent strangers']
